1	Jeep	0.4	0.4	0.028	0.7	0.6	0.64	0.268	0.375	0	100	87	74	46	30	3
2	Jeep	0.4	0.4	0.042	0.59	0.35	0.73	0	0	0.273	100	78	54	54	25	3
3	Jeep	0.4	0.4	0	0.98	0.64	0.78	0.951	0.438	0.364	100	96	57	47	27	2
4	Jeep	0.4	0.4	0.014	1	0.76	0.7	1	0.625	0.182	100	86	58	46	37	3
5	Jeep	0.4	0.4	0.056	0.8	0.45	0.75	0.512	0.156	0.364	100	78	68	38	25	3
6	Jeep	0.4	0.4	0.056	0.93	0.85	0.93	0.829	0.781	0.818	100	84	72	51	31	3
7	UAV	0	1	0.817	0.9	0.86	1	0.756	0.781	1	100	100	100	100	102	14
8	UAV	0	1	0.887	0.95	1	1	0.878	1	1	100	100	100	100	86	15
9	Helicopter	0.8	0.7	0.775	0.67	0.75	0.68	0.195	0.625	0.091	100	87	100	74	120	13
10	Helicopter	0.8	0.7	0.62	0.87	0.6	0.85	0.683	0.375	0.636	100	87	100	78	116	11
11	AirPlane	1	0.8	0.958	0.62	0.63	0.74	0.073	0.438	0.273	100	87	100	86	170	16
